Year	GM GMI
1972-06-01	8 0
1974-01-01	6 0
1976-01-01	1 0
1978-01-01	5 0
1980-01-01	6 0
1982-01-01	1 0
1984-01-01	6 0
1986-01-01	4 0
1988-01-01	14 3
1990-01-01	2 5
1992-01-01	1 6
1994-01-01	20 5
1996-01-01	5 9
1998-01-01	30 9
2000-01-01	50 15
2001-01-01	90 17
2002-01-01	100 17
2003-01-01	190 25
2004-01-01	200 20
2005-01-01	310 28
2006-01-01	320 50
2007-01-01	450 80
2008-01-01	520 82
2009-01-01	620 100
2010-01-01	720 160
2011-01-01	690 150
2012-01-01	700 160
2013-01-01	820 180
2015-01-01	800 200
